Answer key for test.csv (200 rows) - regenerated against the current
pipeline after fixing timestamp routing: stage 2 (hygiene_check) now
checks Timestamp SHAPE only; stage 3 (fine_filter) judges calendar
validity and reports it as 'incorrect_timestamp' (structurally fine,
logically wrong), separate from stage 2's 'malformed_timestamp'
(structurally broken).
row_id = 0-indexed data row (CSV line number = row_id + 2)
====================================================================================================

--- Section 1: rows 0-99 (original hand-built hygiene test set) ---

row_id  csv_line  label                                 actual_pipeline_result
------------------------------------------------------------------------------------------
2       4         malformed_transaction_id              stage2:malformed_transaction_id
13      15        malformed_timestamp_wrong_format      stage2:malformed_timestamp
18      20        malformed_amount                      stage2:malformed_amount
43      45        jan_32_day_exceeds_31                 stage3:incorrect_timestamp
47      49        invalid_transaction_type              stage2:invalid_transaction_type
52      54        empty_row                             stage2:empty_row
65      67        invalid_transaction_type              stage2:invalid_transaction_type
70      72        empty_row                             stage2:empty_row
90      92        malformed_account_id                  stage2:malformed_account_id
96      98        malformed_amount                      stage2:malformed_amount
97      99        malformed_account_id                  stage2:malformed_account_id
98      100       malformed_transaction_id              stage2:malformed_transaction_id

Section 1 totals: clean=86, stage2 flagged=11, stage3 flagged=3
(Note: 'jan_32_day_exceeds_31' (row 43) moved from stage2 to stage3
 under the new routing - it's calendar-invalid, not shape-invalid.)

--- Section 2: rows 100-199 (stage 3 rule coverage batch) ---

category: timestamp = calendar-logic case, amount = std-dev case, valid = clean filler

row_id  csv_line  category   label                                        actual_pipeline_result
--------------------------------------------------------------------------------------------------------------
100     102       valid      clean_row                                    clean (passed to stage 4)
101     103       valid      clean_row                                    clean (passed to stage 4)
102     104       valid      clean_row                                    clean (passed to stage 4)
103     105       valid      clean_row                                    clean (passed to stage 4)
104     106       valid      clean_row                                    clean (passed to stage 4)
105     107       valid      clean_row                                    clean (passed to stage 4)
106     108       valid      clean_row                                    clean (passed to stage 4)
107     109       timestamp  apr_31_day_exceeds_30                        stage3:incorrect_timestamp
108     110       valid      clean_row                                    clean (passed to stage 4)
109     111       valid      clean_row                                    clean (passed to stage 4)
110     112       valid      clean_row                                    clean (passed to stage 4)
111     113       timestamp  negative_year                                stage2:malformed_timestamp
112     114       amount     amount_z_+2.1_flagged                        stage3:amount_outlier
113     115       valid      clean_row                                    clean (passed to stage 4)
114     116       valid      clean_row                                    clean (passed to stage 4)
115     117       valid      clean_row                                    clean (passed to stage 4)
116     118       valid      clean_row                                    clean (passed to stage 4)
117     119       valid      clean_row                                    clean (passed to stage 4)
118     120       valid      clean_row                                    clean (passed to stage 4)
119     121       valid      clean_row                                    clean (passed to stage 4)
120     122       valid      clean_row                                    clean (passed to stage 4)
121     123       valid      clean_row                                    clean (passed to stage 4)
122     124       valid      clean_row                                    clean (passed to stage 4)
123     125       valid      clean_row                                    clean (passed to stage 4)
124     126       valid      clean_row                                    clean (passed to stage 4)
125     127       amount     amount_z_+1.9_not_flagged                    clean (passed to stage 4)
126     128       valid      clean_row                                    clean (passed to stage 4)
127     129       valid      clean_row                                    clean (passed to stage 4)
128     130       valid      clean_row                                    clean (passed to stage 4)
129     131       valid      clean_row                                    clean (passed to stage 4)
130     132       valid      clean_row                                    clean (passed to stage 4)
131     133       valid      clean_row                                    clean (passed to stage 4)
132     134       valid      clean_row                                    clean (passed to stage 4)
133     135       valid      clean_row                                    clean (passed to stage 4)
134     136       amount     amount_low_clear_outlier_flagged_z~-2.15     stage3:amount_outlier
135     137       valid      clean_row                                    clean (passed to stage 4)
136     138       valid      clean_row                                    clean (passed to stage 4)
137     139       timestamp  negative_day                                 stage2:malformed_timestamp
138     140       valid      clean_row                                    clean (passed to stage 4)
139     141       valid      clean_row                                    clean (passed to stage 4)
140     142       valid      clean_row                                    clean (passed to stage 4)
141     143       valid      clean_row                                    clean (passed to stage 4)
142     144       amount     amount_z_-1.9_not_flagged                    clean (passed to stage 4)
143     145       valid      clean_row                                    clean (passed to stage 4)
144     146       valid      clean_row                                    clean (passed to stage 4)
145     147       valid      clean_row                                    clean (passed to stage 4)
146     148       valid      clean_row                                    clean (passed to stage 4)
147     149       valid      clean_row                                    clean (passed to stage 4)
148     150       valid      clean_row                                    clean (passed to stage 4)
149     151       timestamp  feb_29_2000_leap_400_rule_valid              clean (passed to stage 4)
150     152       valid      clean_row                                    clean (passed to stage 4)
151     153       valid      clean_row                                    clean (passed to stage 4)
152     154       timestamp  day_00_invalid                               stage3:incorrect_timestamp
153     155       valid      clean_row                                    clean (passed to stage 4)
154     156       valid      clean_row                                    clean (passed to stage 4)
155     157       amount     amount_z_-2.1_flagged                        stage3:amount_outlier
156     158       valid      clean_row                                    clean (passed to stage 4)
157     159       timestamp  negative_month                               stage2:malformed_timestamp
158     160       valid      clean_row                                    clean (passed to stage 4)
159     161       valid      clean_row                                    clean (passed to stage 4)
160     162       valid      clean_row                                    clean (passed to stage 4)
161     163       valid      clean_row                                    clean (passed to stage 4)
162     164       valid      clean_row                                    clean (passed to stage 4)
163     165       timestamp  feb_29_1900_not_leap_century_rule            stage3:incorrect_timestamp
164     166       valid      clean_row                                    clean (passed to stage 4)
165     167       valid      clean_row                                    clean (passed to stage 4)
166     168       valid      clean_row                                    clean (passed to stage 4)
167     169       valid      clean_row                                    clean (passed to stage 4)
168     170       valid      clean_row                                    clean (passed to stage 4)
169     171       timestamp  month_00_invalid                             stage3:incorrect_timestamp
170     172       valid      clean_row                                    clean (passed to stage 4)
171     173       valid      clean_row                                    clean (passed to stage 4)
172     174       amount     amount_z_+1.5_not_flagged                    clean (passed to stage 4)
173     175       valid      clean_row                                    clean (passed to stage 4)
174     176       timestamp  feb_29_leap_2024_valid                       clean (passed to stage 4)
175     177       valid      clean_row                                    clean (passed to stage 4)
176     178       timestamp  jan_32_day_exceeds_31                        stage3:incorrect_timestamp
177     179       valid      clean_row                                    clean (passed to stage 4)
178     180       amount     amount_z_-1.5_not_flagged                    clean (passed to stage 4)
179     181       valid      clean_row                                    clean (passed to stage 4)
180     182       valid      clean_row                                    clean (passed to stage 4)
181     183       valid      clean_row                                    clean (passed to stage 4)
182     184       valid      clean_row                                    clean (passed to stage 4)
183     185       valid      clean_row                                    clean (passed to stage 4)
184     186       timestamp  month_13_invalid                             stage3:incorrect_timestamp
185     187       valid      clean_row                                    clean (passed to stage 4)
186     188       valid      clean_row                                    clean (passed to stage 4)
187     189       valid      clean_row                                    clean (passed to stage 4)
188     190       valid      clean_row                                    clean (passed to stage 4)
189     191       valid      clean_row                                    clean (passed to stage 4)
190     192       valid      clean_row                                    clean (passed to stage 4)
191     193       valid      clean_row                                    clean (passed to stage 4)
192     194       valid      clean_row                                    clean (passed to stage 4)
193     195       timestamp  feb_29_non_leap_2023                         stage3:incorrect_timestamp
194     196       valid      clean_row                                    clean (passed to stage 4)
195     197       valid      clean_row                                    clean (passed to stage 4)
196     198       amount     amount_z_+3.0_flagged_clear                  stage3:amount_outlier
197     199       valid      clean_row                                    clean (passed to stage 4)
